OS,machine_cpu,machine_ram,Graph_name,Graph_type,Graph_size(GB),Graph_nodes(vertices),Graph_edges,Algorithm,exec_time(s),peak_memory,mean_memory,cpu_usage,file system inputs,file system outputs,user time,
windows,6,16,web-google,web,72M,,,CC,1.75319,235196,,140%,,,,
windows,6,16,web-google,web,72M,,,PR10, 0.612411,158956,,202%,,,,
windows,6,16,web-google,web,72M,,,PR20,0.805622,162088,,206%,,,,
windows,6,16,web-google,web,72M,,,TC,1.94791,,,60%,,,,
windows,6,16,soc-journal,social,"1,1G",,,CC,24.8726,1291016,,212%,,,,
windows,6,16,soc-journal,social,"1,1G",,,PR10,21.9153 ,829388,,333%,,,,
windows,6,16,soc-journal,social,"1,1G",,,PR20,43.267,829208,,335%,,,,
windows,6,16,soc-journal,social,"1,1G",,,TC,26.3173,283876,,211%,,,,
,,,,,,,,,,,,,,,,
ubuntu ,4,32,web-google,web,,,,PR10,0.728687,157024,,295%,63536,7184,2.47,
ubuntu ,4,32,web-google,web,,,,CC,2.20449,233828,,???,???,???,4.25,
Serveur,,,,,,,,,,,,,,,,
Serveur,6,16,socf-konect.edges,,1.6G,,,PR10,76.465,1313500,,267%,312,462704,,
Serveur,6,16,socf-konect.edges,,1.6G,,,PR20,152.6,1310460,,265%,160,462704,,
Serveur,6,16,socf-konect.edges,,1.6G,,,PR50,378.58,1329640,,266%,0,462816,,
Serveur,6,16,socf-konect.edges,,1.6G,,,TC,152.25,4130808,,143%,1223616,13939440,,
Serveur,6,16,socf-konect.edges,,1.6G,,,CC,134.61,1167304,,208%,573064,5680152,,
Serveur,6,16,soc-sinawbeio-260M_edge,,4G,,,CC,248.88,1501772,,180%,11221192,12732496,,
Serveur,6,16,soc-sinawbeio-260M_edge,,4G,,,TC,469.43,5937532,,126%,12878744,45607248,,
Serveur,6,16,soc-sinawbeio-260M_edge,,4G,,,PR10,121.71,1560216,,290%,8,458320,,
Serveur,6,16,soc-sinawbeio-260M_edge,,4G,,,PR20,245.54,1561008,,288%,0,458352,,
Serveur,6,16,soc-sinawbeio-260M_edge,,4G,,,PR50,622.04,1561324,,286%,0,458504,,
Serveur,6,16,bn-humanJung-2015_87101705_200M,,3G,,,CC,228.08,991316,,291%,5888536,6846936,,
Serveur,6,16,bn-humanJung-2015_87101705_200M,,3G,,,TC,505.72,1427960,,191%,25448328,21966160,,
Serveur,6,16,bn-humanJung-2015_87101705_200M,,3G,,,PR10,183.48,986604,,84%,11505800,7908072,,without conversion : 24.3
Serveur,6,16,bn-humanJung-2015_87101705_200M,,3G,,,PR20,208.07,399652,,424%,13030,55905,,without conversion : 49.07
Serveur,,,,,,,,,,,,,,,,
Serveur,,,,,,,,,,,,,,,,