OS,machine_cpu,machine_ram,Graph_name,Graph_type,Graph_size(MB),Graph_nodes(vertices),Graph_edges,Algorithm,exec_time(s),peak_memory,mean_memory,mean_cpu,Disk_read,Disk_write
ubuntu,4,32,soc-journal,social network,,,,PR10,125,3083208,,,,
ubuntu,4,32,soc-journal,social network,,,,TC,11.6,3083220,,,,
ubuntu,4,32,web-Google,web-graph,,,,PageRank,13.7,253340,,,,
ubuntu,6,24,web-Google,web-graph,,,,BFS, 0.0935,227788,,,,
ubuntu,6,24,web-Google,web-graph,,,,PageRank,6.9,227688,,,,
ubuntu,4,32,web-Google,web-graph,,,,BFS,0.115,227780,,,,
ubuntu,6,24,web-Google,web-graph,,,,PageRankDelta,1.31,227824,,,,
ubuntu,4,32,soc-journal,social network,,,,convertion,18.53,4274152,,99%,2040,1070992
ubuntu,6,16,soc-journal,social network,,,,BFS,0.406,2868908,,99%,0,0
ubuntu,4,32,soc-journal,social network,,,,CC,1.25,2868884,,99%,0,0
ubuntu,4,32,com-orkut,ground truth,1.7G(el) 892M(l),3072441,117185083,CC,1.24,4795284,,99%,0,0
ubuntu,4,32,com-orkut,ground truth,1.7G(el) 892M(l),3072441,117185083,PR10,25.2,4795296,,99%,0,0
ubuntu,4,32,com-orkut,ground truth,1.7G(el) 892M(l),3072441,117185083,BFS,0.00067,4795276,,,,
ubuntu,4,32,com-orkut,ground truth,1.7G(el) 892M(l),3072441,117185083,TC,0.805,4795404,,,,
ubuntu,6,24,com-orkut,ground truth,1.7G(el) 892M(l),3072441,117185083,BFS,0.00153,4795248,,99%,0,0
ubuntu ,6,24,com-orkut,ground truth,1.7G(el) 892M(l),3072441,117185083,PageRank,49.8,4795312,,99%,0,0
ubuntu,6,24,com-orkut,ground truth,1.7G(el) 892M(l),3072441,117185083,TC,0.643,4795256,,99%,,
ubuntu,6,24,com-orkut,ground truth,1.7G(el) 892M(l),3072441,117185083,PageRankDelta,13.2,4795196,,99%,,
ubuntu,6,24,com-orkut,ground truth,1.7G(el) 892M(l),3072441,117185083,BC,0.0302,1198062,,99%,,
ubuntu,6,16,soc-journal,social network,1.1G,4847571,68993773,BFS,0.329,2868804,,99%,,
ubuntu,6,24,soc-journal,social network,1.1G,4847571,68993773,PageRank,5:49.02/    2.65,2868636,,99%,,
ubuntu,6,24,soc-journal,social network,1.1G,4847571,68993773,BC,1.68,2868692,,99%,,
ubuntu,6,24,soc-journal,social network,1.1G,4847571,68993773,TC,10.4,2868792,,99%,,
,,,,,,,,,,,,,,
windows,6,16,com-orkut,,1.7G(el) 892M(l),3072441,117185083,conversion,45.129,7122788,,66%,,
windows,6,16,com-orkut,,1.7G(el) 892M(l),3072441,117185083,BFS,7.500,4799328,,95%,,
windows,6,16,com-orkut,,1.7G(el) 892M(l),3072441,117185083,TC,10.340,4799844,,99%,,
windows,6,16,com-orkut,,1.7G(el) 892M(l),3072441,117185083,PR10,187.8,4799904,,99%,,
windows,6,16,com-orkut,,1.7G(el) 892M(l),3072441,117185083,CC,11.379,4800040,,99%,,
,,,,,,,,,,,,,,
ubuntu,4,8,web-google,,,,,BFS,0.91,370584,,,,
ubuntu,4,8,web-google,,,,,PR10,0.715,227756,,,,
Serveur,,,web-google,,,,,,,,,99%,,
ubutnu,6,16,web-google,,,,,PR10,1.51,227744,,99%,,
,6,16,web-google,,,,,PR20,2.54,227648,,,,
,6,16,web-google,,,,,PR50 ,5.61,227656,,99%,,
,6,16,web-google,,,,,BFS,0.5,227724,,,,
,6,16,web-google,,,,,PR100,8.24,227688,,,,
,6,16,web-google,,,,,,,,,100%,,
,6,16,socf-konect.edges,,,,,Convert,41.47,6061556,,99%,,
,6,16,socf-konect.edges,,,,,BFS,11.66,6539096,,,,
,6,16,socf-konect.edges,,,,,PR10,31.76,6549000,,65%,3160680,2586160
,6,16,socf-konect.edges,,,,,PR20,47.61,6538980,,99%,,
,6,16,socf-konect.edges,,,,,PR50 ,83.4,6538920,,99%,,
,6,16,socf-konect.edges,,,,,CC,13.39,7437744,,99%,,
,6,16,socf-konect.edges,,,,,TC,28.87,7437716,,99%,,
,6,16,socf-konect.edges,,,,,,,,,99%,,
,6,16,bn-humanJung-2015_87101705_200M,3GB,,,,Convert,69,12173680,,99%,,
,6,16,bn-humanJung-2015_87101705_200M,,,,,BFS,14.61,8057452,,,,
,6,16,bn-humanJung-2015_87101705_200M,,,,,PR10,21.54,8057548,,63%,5876032,3010880
,6,16,bn-humanJung-2015_87101705_200M,,,,,PR20,27.47,8057552,,98%,,
,6,16,bn-humanJung-2015_87101705_200M,,,,,PR50,48.48,8057536,,99%,,
,6,16,bn-humanJung-2015_87101705_200M,,,,,CC,14.95,8057576,,99%,,
,6,16,bn-humanJung-2015_87101705_200M,,,,,TC ,16.24,8057428,,99%,,
,6,16,bn-humanJung-2015_87101705_200M,,,,,,,,,99%,,
,6,16,web-Google,,,,,PR10,2.15,227528,,99%,,
,6,16,web-Google,,,,,PR20,3.26,227436,,,,
,6,16,web-Google,,,,,PR50,6.41,227524,74%,74%,87456,3919512
,6,16,web-Google,,,,,PR100,8.91,227568,83%,83%,87456,
,6,16,web-Google,,,,,BFS,0.54,227588,91%,91%,87456,
,6,16,web-Google,,,,,CC,1.23,227564,95%,95%,87456,
,6,16,web-Google,,,,,TC,1.21,227568,96%,96%,248,
,6,16,socf-konect,,,,,PR10,31.02,6538848,65%,65%,87448,
,6,16,socf-konect,,,,,PR20,49.25,6538884,67%,67%,87216,
,6,16,socf-konect,,,,,PR50,85.32,6538892,99%,99%,4576,
,6,16,socf-konect,,,,,PR100,85.54,6538880,99%,99%,4840,
,6,16,socf-konect,,,,,BFS,12.13,6538820,99%,99%,4840,
,6,16,socf-konect,,,,,CC,02.08,3160,99%,99%,4840,
,6,16,socf-konect,,,,,TC,30.24,7437616,97%,97%,4848,
,6,16,socf-konect,,,,,PR20,29.16,8057468,99%,99%,4872,
,6,16,bn-human,,,,,PR50,02.48,3112,98%,98%,4840,
,6,16,bn-human,,,,,PR100,51.55,8057544,99%,99%,4840,
,6,16,bn-human,,,,,BFS,15.66,8057424,99%,99%,4840,
,6,16,bn-human,,,,,CC,15.78,8057508,99%,99%,4840,
,6,16,bn-human,,,,,TC,17.88,8057492,94%,94%,4848,
,6,16,web-Google,,,,,PR10,2.1,227560,97%,97%,4840,
,6,16,web-Google,,,,,PR20,3.12,227560,94%,94%,4872,
,6,16,web-Google,,,,,PR50,6.51,227504,75%,75%,87456,
,6,16,web-Google,,,,,PR100,9.13,227572,84%,84%,87184,
,6,16,web-Google,,,,,BFS,0.53,227524,92%,92%,87448,
,6,16,web-Google,,,,,CC,1.29,227516,95%,95%,87456,
,6,16,web-Google,,,,,TC,1.30,227528,96%,96%,248,
,6,16,socf-konect,,,,,PR10,31.12,6538816,60%,60%,87456,
,6,16,socf-konect,,,,,PR20,49.35,6538816,63%,63%,87480,
,6,16,socf-konect,,,,,PR50,25.53,6538820,99%,99%,4840,
,6,16,socf-konect,,,,,PR100,85.35,6538880,99%,99%,4840,
,6,16,socf-konect,,,,,BFS,13.17,6538968,99%,99%,4840,
,6,16,socf-konect,,,,,CC,1.72,3236,99%,99%,4840,
,6,16,socf-konect,,,,,TC,30.18,7437572,91%,91%,4848,
,6,16,socf-konect,,,,,PR20,28.73,8057552,99%,99%,4872,
,6,16,bn-human,,,,,PR50,51.72,3300,98%,98%,4840,
,6,16,bn-human,,,,,PR100,50.87,8057540,99%,99%,4840,
,6,16,bn-human,,,,,PR100,51.86,8057504,0%,0%,4584,
,6,16,bn-human,,,,,BFS,15.77,8057484,99%,99%,4840,
,6,16,bn-human,,,,,CC,16.21,8057540,99%,99%,4840,
,6,16,bn-human,,,,,TC,19.10,8057516,94%,94%,4848,
,,,,,,,,,,,95%,95%,4840,
,,,,,,,,,,,87%,4872,4872,